fetched_at,source,published_at,title,one_liner_en,score,tags,url
2025-08-08T08:31:25-04:00,reuters_business_via_gnews,2025-08-08T00:56:00-04:00,"US retailer Best Buy to boost India tech hub staff by over 40%, executive says - Reuters","US retailer Best Buy to boost India tech hub staff by over 40%, executive says - Reuters [tech]",2.2,tech,https://news.google.com/rss/articles/CBMizwFBVV95cUxNR2xmYTdWT0dPWTZDM3RvUjZPRXhWZzFmWk8wTXJhaW9PUHdwX1MzOXVQLVo1RmVHaWpVRUpQMDdTX1JaY2dNX3dTcEp5WGFNeDctM043YXF4X2YzX25mZ2NZTnlEUTRDVUJndlZiZXM1S1ZGX1JlcXpxN2J6Rnh2eTVvZ2hmdFRmeEswT2VGLTdFV0NDd1pUV280Y1p5bjJLS3NDZUJxbUozMU5xT1htUzc2NFNMWjZvSGc1WVRYd0hqaVc5QU9kMHpDMmNwUE0?oc=5
2025-08-08T08:31:25-04:00,cnbc_markets,2025-08-08T08:05:45-04:00,How Tim Cook convinced Trump to drop made-in-USA iPhone — for now,How Tim Cook convinced Trump to drop made-in-USA iPhone — for now,0.3,,https://www.cnbc.com/2025/08/07/apples-tim-cook-convinced-trump-to-drop-made-in-usa-iphone-for-now.html
2025-08-08T08:31:25-04:00,cnbc_markets,2025-08-08T08:00:02-04:00,OpenStore’s demise marks endgame for once-booming e-commerce aggregator market,OpenStore’s demise marks endgame for once-booming e-commerce aggregator market,0.0,,https://www.cnbc.com/2025/08/08/openstore-demise-endgame-for-once-booming-ecommerce-aggregator-market.html
2025-08-08T08:31:25-04:00,cnbc_markets,2025-08-08T08:27:22-04:00,A major historical bitcoin cycle that dictates its price might be breaking,A major historical bitcoin cycle that dictates its price might be breaking [crypto],1.6,crypto,https://www.cnbc.com/2025/08/08/bitcoin-btc-price-cycle-might-be-breaking.html
2025-08-08T08:31:25-04:00,cnbc_markets,2025-08-08T05:30:01-04:00,"Imposter scams cost older adults $700 million in 2024, FTC finds: Some victims are ‘clearing out' their 401(k)s","Imposter scams cost older adults $700 million in 2024, FTC finds: Some victims are ‘clearing out' their 401(k)s",0.3,,https://www.cnbc.com/2025/08/08/imposter-scam-ftc-seniors-bank-401k-accounts.html
2025-08-08T08:31:25-04:00,cnbc_markets,2025-08-08T07:30:01-04:00,Record-setting market: Using ETFs to help avoid hefty tax bills,Record-setting market: Using ETFs to help avoid hefty tax bills [geopolitics],1.2,geopolitics,https://www.cnbc.com/2025/08/08/record-setting-market-using-etfs-to-help-avoid-hefty-tax-bills-.html
2025-08-08T08:31:25-04:00,cnbc_markets,2025-08-08T07:30:01-04:00,Op-ed: Silicon Valley is dictating U.S. AI policy. It's a mistake that will benefit China,Op-ed: Silicon Valley is dictating U.S. AI policy. It's a mistake that will benefit China [tech],1.7,tech,https://www.cnbc.com/2025/08/08/silicon-valley-dominant-us-ai-policy-will-benefit-china.html
2025-08-08T08:31:25-04:00,cnbc_markets,2025-08-08T01:22:47-04:00,Why insurers worry the world could soon become uninsurable,Why insurers worry the world could soon become uninsurable,0.0,,https://www.cnbc.com/2025/08/08/climate-insurers-are-worried-the-world-could-soon-become-uninsurable-.html
2025-08-08T08:31:25-04:00,cnbc_markets,2025-08-08T06:15:01-04:00,"Student loan borrowers face an expensive ‘cliff effect’ under the new 'standard' repayment plan, expert says","Student loan borrowers face an expensive ‘cliff effect’ under the new 'standard' repayment plan, expert says [rates]",2.0,rates,https://www.cnbc.com/2025/08/08/student-loan-borrowers-standard-plan-changes.html
2025-08-08T08:31:25-04:00,cnbc_markets,2025-08-08T07:58:13-04:00,"Trump's approval rating still negative while the public sours further on Democrats, CNBC survey shows","Trump's approval rating still negative while the public sours further on Democrats, CNBC survey shows [tech]",1.7,tech,https://www.cnbc.com/2025/08/07/trumps-approval-rating-still-negative-while-the-public-sours-further-on-democrats-cnbc-survey-shows.html
2025-08-08T08:31:25-04:00,cnbc_markets,2025-08-08T01:21:46-04:00,"The UK government won't admit it, but tax rises are coming — and there are no good options","The UK government won't admit it, but tax rises are coming — and there are no good options",0.3,,https://www.cnbc.com/2025/08/08/the-uk-government-wont-admit-it-but-tax-rises-are-coming.html
